Codigo,Magnitud,Abreviatura,Unidad,Codigo_Tecnica,Tecnica_de_medida
01,Dióxido_de_Azufre,SO2,μg/m3,38,Fluorescencia_ultravioleta
06,Monóxido_de_Carbono,CO,mg/m3,48,Absorción_infrarroja
07,Monóxido_de_Nitrógeno,NO,μg/m3,08,Quimioluminiscencia
08,Dióxido_de_Nitrógeno,NO2,μg/m3,08,Quimioluminiscencia
09,Partículas<2.5μm,PM2.5,μg/m3,47,Microbalanza/Espectrometria
10,Partículas<10μm,PM10,μg/m3,47,Microbalanza/Espectrometria
12,Óxidos_de_Nitrógeno,NOx,μg/m3,08,Quimioluminiscencia
14,Ozono,O3,μg/m3,06,Absorción_ultravioleta
20,Tolueno,TOL,μg/m3,59,Cromatografía_de_gases
30,Benceno,BEN,μg/m3,59,Cromatografía_de_gases
35,Etilbenceno,EBE,μg/m3,59,Cromatografía_de_gases
37,Metaxileno,MXY,μg/m3,59,Cromatografía_de_gases
38,Paraxileno,PXY,μg/m3,59,Cromatografía_de_gases
39,Ortoxileno,OXY,μg/m3,59,Cromatografía_de_gases
42,Hidrocarburos_totales(hexano),TCH,mg/m3,59,Cromatografía_de_gases
43,Metano,CH4,mg/m3,59,Cromatografía_de_gases
44,Hidrocarburos_no_metánicos_(hexano),NMHC,mg/m3,59,Cromatografía_de_gases
431,Metaparaxileno,MPX,mg/m3,59,Cromatografía_de_gases
